subjects,verbs,objects,sentences,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,بازار,لڑکا بازار میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,کتا,لڑکا کتے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,بلی,لڑکا بلی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,پپی,لڑکا پپی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,کبوتر,لڑکا کبوتر کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,طوطا,لڑکا طوطے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,کوا,لڑکا کوے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,چوزہ,لڑکا چوزے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,تتلی,لڑکا تتلی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,کوکروچ,لڑکا کوکروچ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,چوہا,لڑکا چوہے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,کیڑے,لڑکا کیڑے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,چھپکلی,لڑکا چھپکلی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,چیونٹی,لڑکا چیونٹی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,کتاب,لڑکا کتاب پہ ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,سٹوری بک,لڑکا سٹوری بک پہ ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,شرٹ,لڑکا شرٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,ٹی شرٹ,لڑکا ٹی شرٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,پینٹ,لڑکا پینٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,شلوار  قمیض ,لڑکا شلوار  قمیض  کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,قمیص,لڑکا قمیص کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,جیکٹ,لڑکا جیکٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,جوتا,لڑکا جوتے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,شوز,لڑکا شوز کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,سکارف,لڑکا سکارف کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,ٹوپی,لڑکا ٹوپی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,سکرٹ,لڑکا سکرٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,ٹائی,لڑکا ٹائی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,یونیفارم,لڑکا یونیفارم کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,موزے,لڑکا جرابوں کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,گلفز,لڑکا گلفز کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,بینگلز,لڑکا بینگلز کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
لڑکا,ڈرائنگ کرنا,بنیان,لڑکا بنیان کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,صبح,بچہ صبح کےوقت ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,دوپہر,بچہ دوپہر کےوقت ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,شام,بچہ شام کےوقت ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,رات,بچہ رات کےوقت ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,گھر,بچہ گھر میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,سکول,بچہ سکول میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,بس سٹاپ,بچہ بس سٹاپ پہ ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,سٹیشن,بچہ سٹیشن پہ ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,چڑیاگھر,بچہ چڑیاگھر میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,پارک,بچہ پارک میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,کیچن,بچہ کیچن میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,بیڈ روم,بچہ بیڈ روم میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,ٹی وی روم,بچہ ٹی وی روم میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,ہسپتال,بچہ ہسپتال میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,بازار,بچہ بازار میں ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,کتا,بچہ کتے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,بلی,بچہ بلی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,پپی,بچہ پپی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,کبوتر,بچہ کبوتر کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,طوطا,بچہ طوطے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,کوا,بچہ کوے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,چوزہ,بچہ چوزے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,تتلی,بچہ تتلی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,کوکروچ,بچہ کوکروچ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,چوہا,بچہ چوہے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,کیڑے,بچہ کیڑے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,چھپکلی,بچہ چھپکلی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,چیونٹی,بچہ چیونٹی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,کتاب,بچہ کتاب پہ ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,سٹوری بک,بچہ سٹوری بک پہ ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,شرٹ,بچہ شرٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,ٹی شرٹ,بچہ ٹی شرٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,پینٹ,بچہ پینٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,شلوار  قمیض ,بچہ شلوار  قمیض  کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,قمیص,بچہ قمیص کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,جیکٹ,بچہ جیکٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,جوتا,بچہ جوتے کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,شوز,بچہ شوز کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,سکارف,بچہ سکارف کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,ٹوپی,بچہ ٹوپی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,سکرٹ,بچہ سکرٹ کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,ٹائی,بچہ ٹائی کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,یونیفارم,بچہ یونیفارم کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,موزے,بچہ جرابوں کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,گلفز,بچہ گلفز کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,بینگلز,بچہ بینگلز کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
بچہ,ڈرائنگ کرنا,بنیان,بچہ بنیان کی ڈرائنگ کرتا ہے,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,صبح,دوست صبح کےوقت ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,دوپہر,دوست دوپہر کےوقت ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,شام,دوست شام کےوقت ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,رات,دوست رات کےوقت ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,گھر,دوست گھر میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,سکول,دوست سکول میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,بس سٹاپ,دوست بس سٹاپ پہ ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,سٹیشن,دوست سٹیشن پہ ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,چڑیاگھر,دوست چڑیاگھر میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,پارک,دوست پارک میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,کیچن,دوست کیچن میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,بیڈ روم,دوست بیڈ روم میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,ٹی وی روم,دوست ٹی وی روم میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,ہسپتال,دوست ہسپتال میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,بازار,دوست بازار میں ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,کتا,دوست کتے کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,بلی,دوست بلی کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,پپی,دوست پپی کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,کبوتر,دوست کبوتر کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,طوطا,دوست طوطے کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,کوا,دوست کوے کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,چوزہ,دوست چوزے کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,تتلی,دوست تتلی کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,کوکروچ,دوست کوکروچ کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,چوہا,دوست چوہا کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,کیڑے,دوست کیڑے کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,چھپکلی,دوست چھپکلی کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,چیونٹی,دوست چیونٹی کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,کتاب,دوست کتاب پہ ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,سٹوری بک,دوست سٹوری بک پہ ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,شرٹ,دوست شرٹ کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,ٹی شرٹ,دوست ٹی شرٹ کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,پینٹ,دوست پینٹ کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,شلوار  قمیض ,دوست شلوار  قمیض  کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,قمیص,دوست قمیص کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,جیکٹ,دوست جیکٹ کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,جوتا,دوست جوتے کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,شوز,دوست شوز کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,سکارف,دوست سکارف کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,ٹوپی,دوست ٹوپی کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,سکرٹ,دوست سکرٹ کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,ٹائی,دوست ٹائی کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,یونیفارم,دوست یونیفارم کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,موزے,دوست جرابوں کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,گلفز,دوست گلفز کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,بینگلز,دوست بینگلز کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
دوست,ڈرائنگ کرنا,بنیان,دوست بنیان کی ڈرائنگ کرتے ہیں,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,دوپہر,چھوٹی بہن دوپہر کےوقت ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,شام,چھوٹی بہن شام کےوقت ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,رات,چھوٹی بہن رات کےوقت ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,گھر,چھوٹی بہن گھر میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,سکول,چھوٹی بہن سکول میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,بس سٹاپ,چھوٹی بہن بس سٹاپ پہ ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,سٹیشن,چھوٹی بہن سٹیشن پہ ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,چڑیاگھر,چھوٹی بہن چڑیاگھر میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,پارک,چھوٹی بہن پارک میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,کیچن,چھوٹی بہن کیچن میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,بیڈ روم,چھوٹی بہن بیڈ روم میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,ٹی وی روم,چھوٹی بہن ٹی وی روم میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,ہسپتال,چھوٹی بہن ہسپتال میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,بازار,چھوٹی بہن بازار میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,کتا,چھوٹی بہن کتے کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,بلی,چھوٹی بہن بلی کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,پپی,چھوٹی بہن پپی کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,کبوتر,چھوٹی بہن کبوتر کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,طوطا,چھوٹی بہن طوطے کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,کوا,چھوٹی بہن کوے کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,چوزہ,چھوٹی بہن چوزے کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,تتلی,چھوٹی بہن تتلی کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,کوکروچ,چھوٹی بہن کوکروچ کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,چوہا,چھوٹی بہن چوہے کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,کیڑے,چھوٹی بہن کیڑے کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,چھپکلی,چھوٹی بہن چھپکلی کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,چیونٹی,چھوٹی بہن چیونٹی کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,کتاب,چھوٹی بہن کتاب پہ ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,سٹوری بک,چھوٹی بہن سٹوری بک پہ ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,شرٹ,چھوٹی بہن شرٹ کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,ٹی شرٹ,چھوٹی بہن ٹی شرٹ کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,پینٹ,چھوٹی بہن پینٹ کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,شلوار  قمیض ,چھوٹی بہن شلوار  قمیض  کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,قمیص,چھوٹی بہن قمیص کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,جیکٹ,چھوٹی بہن جیکٹ کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,جوتا,چھوٹی بہن جوتے کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,شوز,چھوٹی بہن شوز کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,سکارف,چھوٹی بہن سکارف کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,ٹوپی,چھوٹی بہن ٹوپی کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,سکرٹ,چھوٹی بہن سکرٹ کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,ٹائی,چھوٹی بہن ٹائی کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,یونیفارم,چھوٹی بہن یونیفارم کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,موزے,چھوٹی بہن جرابوں کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,گلفز,چھوٹی بہن گلفز کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,بینگلز,چھوٹی بہن بینگلز کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
چھوٹی بہن,ڈرائنگ کرنا,بنیان,چھوٹی بہن بنیان کی ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,دوپہر,بڑی بہن دوپہر کےوقت ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,شام,بڑی بہن شام کےوقت ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,رات,بڑی بہن رات کےوقت ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,گھر,بڑی بہن گھر میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,سکول,بڑی بہن سکول میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,بس سٹاپ,بڑی بہن بس سٹاپ پہ ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,سٹیشن,بڑی بہن سٹیشن پہ ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,چڑیاگھر,بڑی بہن چڑیاگھر میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,پارک,بڑی بہن پارک میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
بڑی بہن,ڈرائنگ کرنا,کیچن,بڑی بہن کیچن میں ڈرائنگ کرتی ہے,,,,,,,,,,,,,,,,,,,,,,
